import time: self [us] | cumulative | imported package
import time:      4101 |       4250 |     uuid
import time:      1799 |       1799 |       annotated_doc.main
import time:      1371 |       3169 |     annotated_doc
import time:      1314 |       1314 |     typer._types
import time:      1309 |       1309 |     typer._typing
import time:      1773 |       1773 |         click.shell_completion
import time:      1715 |       1715 |             shellingham._core
import time:      1374 |       3088 |           shellingham
import time:      1954 |       5042 |         typer._completion_shared
import time:      1565 |       8379 |       typer._completion_classes
import time:      3299 |       3299 |       typer.models
import time:      3980 |       3980 |       typer.params
import time:      1606 |       1606 |         copy
import time:      1600 |       3206 |       typer.utils
import time:      1539 |      20399 |     typer.completion
import time:       135 |        135 |           _heapq
import time:      1476 |       1611 |         heapq
import time:      2996 |       4607 |       difflib
import time:      3111 |       7717 |     typer.core
import time:      3380 |      51896 |   typer.main
import time:      1614 |      83834 | typer
import time:      1449 |       1449 | brainchmark.cli_completion
import time:       217 |        217 |     brainchmark.utils
import time:      2361 |       2361 |       yaml.error
import time:      1863 |       1863 |       yaml.tokens
import time:      1624 |       1624 |       yaml.events
import time:      1504 |       1504 |       yaml.nodes
import time:     12482 |      12482 |         yaml.reader
import time:      2779 |       2779 |         yaml.scanner
import time:      1806 |       1806 |         yaml.parser
import time:      1580 |       1580 |         yaml.composer
import time:      4053 |       4053 |         yaml.constructor
import time:      5098 |       5098 |         yaml.resolver
import time:      1720 |      29514 |       yaml.loader
import time:      1943 |       1943 |         yaml.emitter
import time:      1455 |       1455 |         yaml.serializer
import time:      1763 |       1763 |         yaml.representer
import time:      1765 |       6924 |       yaml.dumper
import time:      1402 |       1402 |         yaml._yaml
import time:      2186 |       3587 |       yaml.cyaml
import time:      1785 |      49159 |     yaml
import time:      2167 |      51543 |   brainchmark.utils.cli_overrides
import time:      3944 |      55486 | brainchmark.enums
import time:      2057 |       2057 | brainchmark.paths
